Parameter                                  Value  Uncertainty
-----------------------------------------------------------------
mu_MC_CC_nue                            0.999466   0.00176262
mu_MC_CC_numu                           0.999682   0.00165604
mu_MC_NC_nue                             1.00062    0.0017962
mu_MC_NC_numu                           0.999779   0.00159971
mu_kaon                                      0.9      0.96725
mu_neutron                               4.74194     0.481779
staterror_CR[0]                         0.998968    0.0269391
staterror_CR[1]                         0.999932    0.0293233
staterror_CR[2]                           0.9981    0.0318208
staterror_CR[3]                           1.0093    0.0348983
staterror_CR[4]                          1.00469    0.0364778
staterror_CR[5]                          0.98866    0.0400667
staterror_CR[6]                         0.993188    0.0419819
staterror_CR[7]                          1.00352    0.0450926
staterror_CR[8]                           1.0027     0.047765
staterror_CR[9]                         0.999712    0.0498386
staterror_CR[10]                        0.991918    0.0537659
staterror_CR[11]                         1.00894    0.0546688
staterror_CR[12]                         1.00165    0.0558954
staterror_CR[13]                          1.0003    0.0562322
staterror_CR[14]                        0.997233    0.0585492
staterror_CR[15]                        0.988752    0.0651646
staterror_CR[16]                        0.993854    0.0641457
staterror_CR[17]                        0.989052    0.0670752
staterror_CR[18]                         1.00588    0.0664513
staterror_CR[19]                         1.00154    0.0577178
staterror_CR[20]                        0.997124    0.0676037
staterror_CR[21]                        0.998763    0.0641989
staterror_CR[22]                        0.993365    0.0688014
staterror_CR[23]                         0.99926    0.0748941
staterror_CR[24]                         1.00034    0.0705462
staterror_CR[25]                          1.0049    0.0691144
staterror_CR[26]                        0.994635    0.0721655
staterror_CR[27]                         1.01382    0.0811837
staterror_CR[28]                        0.997103    0.0658479
staterror_CR[29]                         1.00241    0.0811229
staterror_CR[30]                         1.00289    0.0851718
staterror_CR[31]                         1.00723    0.0727083
staterror_CR[32]                         1.00287    0.0805723
staterror_CR[33]                         1.00232    0.0662322
staterror_CR[34]                        0.996382    0.0806956
staterror_CR[35]                         1.00276    0.0694026
staterror_CR[36]                         0.99742     0.082986
staterror_CR[37]                         1.00461    0.0835645
staterror_CR[38]                         1.01447    0.0736926
staterror_CR[39]                         1.00433    0.0770218
staterror_CR[40]                         1.00359    0.0730218
staterror_CR[41]                        0.998402    0.0799399
staterror_CR[42]                        0.997912    0.0904577
staterror_CR[43]                         1.00453    0.0787451
staterror_CR[44]                        0.998234    0.0800528
staterror_CR[45]                        0.998567    0.0868811
staterror_CR[46]                         1.00656     0.088688
staterror_CR[47]                        0.998468    0.0878621
staterror_CR[48]                        0.998524    0.0885735
staterror_CR[49]                          0.9985     0.091401
