Parameter                                  Value  Uncertainty
-----------------------------------------------------------------
mu_MC_CC_nue                            0.999986   0.00146431
mu_MC_CC_numu                            0.99933   0.00181185
mu_MC_NC_nue                            0.999047   0.00153705
mu_MC_NC_numu                            1.00099   0.00176496
mu_MC_kaon_10_20GeV                  0.000827143      6.81192
mu_MC_kaon_20_30GeV                   2.2698e-07      6.69064
mu_MC_kaon_30_40GeV                      9.99997      8.33644
mu_MC_kaon_50_60GeV                      9.99999      8.17928
mu_MC_kaon_5_10GeV                       9.99926      7.58665
mu_MC_kaon_60_70GeV                      9.82144      7.76762
mu_MC_kaon_70_80GeV                      9.99961      8.31668
mu_MC_kaon_80_90GeV                           10      8.40751
mu_MC_kaon_90_100GeV                          10      8.44026
mu_MC_neutron_10_20GeV                   2.56284       1.5534
mu_MC_neutron_20_30GeV               2.97871e-09      6.79363
mu_MC_neutron_30_40GeV                   2.85346      2.83633
mu_MC_neutron_50_60GeV                   9.99993      8.46973
mu_MC_neutron_5_10GeV                    9.99938       8.3004
mu_MC_neutron_60_70GeV                    9.9998      8.33158
mu_MC_neutron_70_80GeV                    9.9694      8.20638
mu_MC_neutron_80_90GeV                   9.99998       8.4398
staterror_CR[0]                          1.00038    0.0140794
staterror_CR[1]                         0.998945    0.0199544
staterror_CR[2]                          1.00233    0.0250773
staterror_CR[3]                         0.997166    0.0294466
staterror_CR[4]                          0.99763    0.0311969
staterror_CR[5]                          1.00124    0.0334108
staterror_CR[6]                          1.00127     0.035337
staterror_CR[7]                          1.00366    0.0348358
staterror_CR[8]                         0.999197    0.0360825
staterror_CR[9]                          0.99834     0.039667
